MakeValue|ModelValue|ModelGroup|Model_Description|MotorType|SumInsured|ClaimTypeValue|CC|Seat|Weight|AgeDriver|AgeCar|AgeCarMax|BasePremium|MainPremium|EndorsePremium01|EndorsePremium02|EndorsePremium03|DriverDiscountRate|DriverDiscount|GroupDiscountRate|GroupDiscountAmt|HistoryDiscountRate|HistoryDiscountAmt|OtherDiscountRate|OtherDiscountAmt|PlusPremium1|PlusPremium2|NetPremium|Stamp|VAT|TotalPremium|DeductAmt|FIRE&THEFT|TPPI_P|TPPI_C|TPPD|Bail Bond|PA_Driver|PA_Passengers|MED|CommissionRate|PromotionDiscountRate|PromotionDiscountAmt|PromotionEffectiveDate|PromotionExpiryDate|CarGroup|ProductType
Chevrolet|Cruze|Cruze|Sedan 4dr Base Man 5sp FWD 1.6i|110|350000|02|1600|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||350000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LS SA 6sp FWD 1.6i|110|380000|02|1600|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||380000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LT SA 6sp FWD 1.6i|110|400000|02|1600|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||400000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LS SA 6sp FWD 1.8i|110|410000|02|1800|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||410000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LT SA 6sp FWD 1.8i|110|430000|02|1800|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||430000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LTZ SA 6sp FWD 1.8i|110|460000|02|1800|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||460000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LTZ SA 6sp FWD 2.0DCT|110|570000|02|2000|7|||5|5||||||||||||||||17686.00|71.00|1242.99|19000.00||570000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Spin|Spin|Wagon 4dr LTZ 7st Auto 6sp FWD 1.5i (CBU)|110|350000|02|1500|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||350000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LS 7st Tiptronic 6sp FWD 2.4i|110|490000|02|2400|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||490000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LSX 7st Tiptronic 6sp FWD 2.4i|110|530000|02|2400|7|||5|5||||||||||||||||17686.00|71.00|1242.99|19000.00||530000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LSX 7st Tiptronic 6sp FWD 2.0DCT|110|580000|02|2000|7|||5|5||||||||||||||||17686.00|71.00|1242.99|19000.00||580000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LT 7st Tiptronic 6sp FWD 2.4i|110|620000|02|2400|7|||5|5||||||||||||||||19082.00|77.00|1341.13|20500.00||620000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LTZ 7st Tiptronic 6sp 4WD 2.4i|110|660000|02|2400|7|||5|5||||||||||||||||19082.00|77.00|1341.13|20500.00||660000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LT 7st Tiptronic 6sp 4WD 2.0DCT|110|680000|02|2000|7|||5|5||||||||||||||||19082.00|77.00|1341.13|20500.00||680000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LTZ 7st Tiptronic 6sp 4WD 2.0DCT|110|710000|02|2000|7|||5|5||||||||||||||||20478.00|82.00|1439.20|22000.00||710000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Sonic|Sonic|Hatch 4dr LT Man 5sp FWD 1.4i|110|300000|02|1400|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||300000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Hatch 4dr LT Auto 6sp FWD 1.4i|110|320000|02|1400|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||320000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Sedan 4dr LS Man 5sp FWD 1.4i|110|280000|02|1400|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||280000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Sedan 4dr LS Auto 6sp FWD 1.4i|110|290000|02|1400|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||290000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Sedan 4dr LT Man 5sp FWD 1.4i|110|300000|02|1400|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||300000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Sedan 4dr LT Auto 6sp FWD 1.6i|110|340000|02|1600|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||340000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Sedan 4dr LTZ Auto 6sp FWD 1.6i|110|360000|02|1600|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||360000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Hatch 4dr LTZ Auto 6sp FWD 1.6i|110|360000|02|1600|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||360000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LT 7st Man 5sp FWD 2.5DCT|110|550000|02|2500|7|||5|5||||||||||||||||17686.00|71.00|1242.99|19000.00||550000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LT 7st Auto 6sp FWD 2.8DCT|110|640000|02|2800|7|||5|5||||||||||||||||19082.00|77.00|1341.13|20500.00||640000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LT 7st Auto 6sp 4WD 2.8DCT|110|670000|02|2800|7|||5|5||||||||||||||||19082.00|77.00|1341.13|20500.00||670000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ 7st Auto 6sp 4WD 2.8DCT|110|720000|02|2800|7|||5|5||||||||||||||||20478.00|82.00|1439.20|22000.00||720000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ 1 7st Auto 6sp 4WD 2.8DCT|110|770000|02|2800|7|||5|5||||||||||||||||20478.00|82.00|1439.20|22000.00||770000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ 7st Auto 6sp FWD 2.8DCT|110|680000|02|2800|7|||5|5||||||||||||||||19082.00|77.00|1341.13|20500.00||680000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ 1 7st Auto 6sp FWD 2.8DCT|110|710000|02|2800|7|||5|5||||||||||||||||20478.00|82.00|1439.20|22000.00||710000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Single Cab LS Man 6sp RWD 2.5DCT|210|290000|02|2500|3|3000||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||290000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Ext. Cab LS1 Man 6sp RWD 2.5DCT|210|310000|02|2500|3|3000||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||310000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Ext. Cab LT Man 6sp RWD 2.5DCT|210|330000|02|2500|3|3000||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||330000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Ext. Cab LT Z71 Man 6sp 4WD 2.5DCT|210|380000|02|2500|3|3000||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||380000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Ext. Cab LT Z71 Man 6sp RWD 2.5DCT|210|350000|02|2500|3|3000||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||350000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Ext. Cab LTZ Z71 Man 6sp 4WD 2.8DCT|210|440000|02|2800|3|3000||5|5||||||||||||||||17220.00|69.00|1210.23|18500.00||440000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Ext. Cab LTZ Z71 Man 6sp RWD 2.8DCT|210|410000|02|2800|3|3000||5|5||||||||||||||||17220.00|69.00|1210.23|18500.00||410000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LS1 Man 6sp RWD 2.5DCT|110|330000|02|2500|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||330000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Man 6sp RWD 2.5DCT|110|370000|02|2500|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||370000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LTZ Man 6sp RWD 2.8DCT|110|400000|02|2800|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||400000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Z71 Man 6sp RWD 2.5DCT|110|390000|02|2500|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||390000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Z71 Man 6sp RWD 2.8DCT|110|400000|02|2800|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||400000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Z71 Man 6sp 4WD 2.5DCT|110|410000|02|2500|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||410000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Z71 Auto 6sp RWD 2.8DCT|110|420000|02|2800|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||420000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Z71 Man 6sp 4WD 2.8DCT|110|420000|02|2800|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||420000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LTZ Z71 Man 6sp RWD 2.8DCT|110|430000|02|2800|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||430000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LTZ Z71 Man 6sp 4WD 2.8DCT|110|470000|02|2800|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||470000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LTZ Z71 Auto 6sp RWD 2.8DCT|110|460000|02|2800|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||460000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LTZ Z71 Auto 6sp 4WD 2.8DCT|110|510000|02|2800|7|||5|5||||||||||||||||17686.00|71.00|1242.99|19000.00||510000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Ford|Escape|Escape|Wagon 4dr XLT Auto 4sp FWD 2.3i (CBU,LST)|110|400000|02|2300|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||400000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Ford|Escape|Escape|Wagon 4dr XLT Auto 4sp 4WD 2.3i (CBU,LST)|110|440000|02|2300|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||440000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Ford|Everest|Everest|Wagon 4dr LTD TDCi 7st Auto 5sp RWD 2.5DCT (Navi)|110|500000|02|2500|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||500000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Ford|Everest|Everest|Wagon 4dr LTD TDCi 7st Auto 5sp 4WD 3.0DCT (Navi)|110|540000|02|3000|7|||5|5||||||||||||||||17686.00|71.00|1242.99|19000.00||540000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Ford|Fiesta|Fiesta|Hatch 4dr Trend Auto 6sp FWD 1.5i|110|280000|02|1500|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||280000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Ford|Fiesta|Fiesta|Hatch 4dr Sport Auto 6sp FWD 1.5i|110|300000|02|1500|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||300000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Ford|Fiesta|Fiesta|Sedan 4dr Trend Auto 6sp FWD 1.5i|110|280000|02|1500|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||280000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Ford|Fiesta|Fiesta|Sedan 4dr Sport Auto 6sp FWD 1.5i|110|300000|02|1500|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||300000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Ford|Fiesta|Fiesta|Hatch 4dr Sport Auto 6sp FWD 1.0i (EcoBoost)|110|340000|02|1000|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||340000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Ford|Fiesta|Fiesta|Sedan 4dr Titanium Auto 6sp FWD 1.0i (EcoBoost)|110|340000|02|1000|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||340000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Ford|Focus|Focus|Hatch 4dr Trend Auto 6sp FWD 1.6i|110|360000|02|1600|7|||5|5||||||||||||||||16289.00|66.00|1144.85|17500.00||360000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Ford|Focus|Focus|Hatch 4dr Sport Auto 6sp FWD 2.0i|110|420000|02|2000|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||420000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Ford|Focus|Focus|Hatch 4dr Sport+ Auto 6sp FWD 2.0i|110|470000|02|2000|7|||5|5||||||||||||||||16755.00|68.00|1177.61|18000.00||470000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
